start_frame,end_frame,start_time,end_time,duration,checks
108,126,4.5,5.25,0.75,4
228,1122,9.5,46.75,37.25,150
1170,1800,48.75,75.0,26.25,106
1878,1926,78.25,80.25,2.0,9
1944,3180,81.0,132.5,51.5,207
3216,3894,134.0,162.25,28.25,114
3948,4860,164.5,202.5,38.0,153
