frame,video_time,scoreboard_present
2232,93.0,1
2238,93.25,1
2244,93.5,1
2250,93.75,1
2256,94.0,1
2262,94.25,1
2268,94.5,1
2274,94.75,1
2280,95.0,1
2286,95.25,1
2292,95.5,1
2298,95.75,1
2304,96.0,1
2310,96.25,1
2316,96.5,1
2322,96.75,1
2328,97.0,1
2334,97.25,1
2340,97.5,1
2346,97.75,1
2352,98.0,1
2358,98.25,1
2364,98.5,1
2370,98.75,1
2376,99.0,1
2382,99.25,1
2388,99.5,1
2394,99.75,1
2400,100.0,1
2406,100.25,1
2412,100.5,1
2418,100.75,1
2424,101.0,1
2430,101.25,1
2436,101.5,1
2442,101.75,1
2448,102.0,1
2454,102.25,1
2460,102.5,1
2466,102.75,1
2472,103.0,1
2478,103.25,1
2484,103.5,1
2490,103.75,1
2496,104.0,1
2502,104.25,1
2508,104.5,1
2514,104.75,1
2520,105.0,1
2526,105.25,1
2532,105.5,1
2538,105.75,1
2544,106.0,1
2550,106.25,1
2556,106.5,1
2562,106.75,1
2568,107.0,1
2574,107.25,1
2580,107.5,1
2586,107.75,1
2592,108.0,1
2598,108.25,1
2604,108.5,1
2610,108.75,1
2616,109.0,1
2622,109.25,1
2628,109.5,1
2634,109.75,1
2640,110.0,1
2646,110.25,1
2652,110.5,1
2658,110.75,1
2664,111.0,1
2670,111.25,1
2676,111.5,1
2682,111.75,1
2688,112.0,1
2694,112.25,1
2700,112.5,1
2706,112.75,1
2712,113.0,1
2718,113.25,1
2724,113.5,1
2730,113.75,1
2736,114.0,1
2742,114.25,1
2748,114.5,1
2754,114.75,1
2760,115.0,1
2766,115.25,1
2772,115.5,1
2778,115.75,1
2784,116.0,1
2790,116.25,1
2796,116.5,1
2802,116.75,1
2808,117.0,1
2814,117.25,1
2820,117.5,1
2826,117.75,1
2832,118.0,1
2838,118.25,1
2844,118.5,1
2850,118.75,1
2856,119.0,1
2862,119.25,1
2868,119.5,1
2874,119.75,1
2880,120.0,1
2886,120.25,1
2892,120.5,1
2898,120.75,1
2904,121.0,1
2910,121.25,1
2916,121.5,1
2922,121.75,1
2928,122.0,1
2934,122.25,1
2940,122.5,1
2946,122.75,1
2952,123.0,1
2958,123.25,1
2964,123.5,1
2970,123.75,1
2976,124.0,1
2982,124.25,1
2988,124.5,1
2994,124.75,1
3000,125.0,1
3006,125.25,1
3012,125.5,1
3018,125.75,1
3024,126.0,1
3030,126.25,1
3036,126.5,1
3042,126.75,1
3048,127.0,1
3054,127.25,1
3060,127.5,1
3066,127.75,1
3072,128.0,1
3078,128.25,1
3084,128.5,1
3090,128.75,1
3096,129.0,1
3102,129.25,1
3108,129.5,1
3114,129.75,1
3120,130.0,1
3126,130.25,1
3132,130.5,1
3138,130.75,1
3144,131.0,1
3150,131.25,1
3156,131.5,1
3162,131.75,1
3168,132.0,1
3174,132.25,1
3180,132.5,1
3186,132.75,0
3192,133.0,0
3198,133.25,0
3204,133.5,0
3210,133.75,0
3216,134.0,1
3222,134.25,1
3228,134.5,1
3234,134.75,1
3240,135.0,1
3246,135.25,1
3252,135.5,1
3258,135.75,1
3264,136.0,1
3270,136.25,1
3276,136.5,1
3282,136.75,1
3288,137.0,1
3294,137.25,1
3300,137.5,1
3306,137.75,1
3312,138.0,1
3318,138.25,1
3324,138.5,1
3330,138.75,1
3336,139.0,1
3342,139.25,1
3348,139.5,1
3354,139.75,1
3360,140.0,1
3366,140.25,1
3372,140.5,1
3378,140.75,1
3384,141.0,1
3390,141.25,1
3396,141.5,1
3402,141.75,1
3408,142.0,1
3414,142.25,1
3420,142.5,1
3426,142.75,1
3432,143.0,1
3438,143.25,1
3444,143.5,1
3450,143.75,1
3456,144.0,1
3462,144.25,1
3468,144.5,1
3474,144.75,1
3480,145.0,1
3486,145.25,1
3492,145.5,1
3498,145.75,1
3504,146.0,1
3510,146.25,1
3516,146.5,1
3522,146.75,1
3528,147.0,1
3534,147.25,1
3540,147.5,1
3546,147.75,1
3552,148.0,1
3558,148.25,1
3564,148.5,1
3570,148.75,1
3576,149.0,1
3582,149.25,1
3588,149.5,1
3594,149.75,1
3600,150.0,1
3606,150.25,1
3612,150.5,1
3618,150.75,1
3624,151.0,1
3630,151.25,1
3636,151.5,1
3642,151.75,1
3648,152.0,1
3654,152.25,1
3660,152.5,1
3666,152.75,1
3672,153.0,1
3678,153.25,1
3684,153.5,1
3690,153.75,1
3696,154.0,1
3702,154.25,1
3708,154.5,1
3714,154.75,1
3720,155.0,1
3726,155.25,1
3732,155.5,1
3738,155.75,1
3744,156.0,1
3750,156.25,1
3756,156.5,1
3762,156.75,1
3768,157.0,1
3774,157.25,1
3780,157.5,1
3786,157.75,1
3792,158.0,1
3798,158.25,1
3804,158.5,1
3810,158.75,1
3816,159.0,1
3822,159.25,1
3828,159.5,1
3834,159.75,1
3840,160.0,1
3846,160.25,1
3852,160.5,1
3858,160.75,1
3864,161.0,1
3870,161.25,1
3876,161.5,1
3882,161.75,1
3888,162.0,1
3894,162.25,1
3900,162.5,0
3906,162.75,0
3912,163.0,0
3918,163.25,0
3924,163.5,0
3930,163.75,1
3936,164.0,0
3942,164.25,0
3948,164.5,1
3954,164.75,1
3960,165.0,1
3966,165.25,1
3972,165.5,1
3978,165.75,1
3984,166.0,1
3990,166.25,1
3996,166.5,1
4002,166.75,1
4008,167.0,1
4014,167.25,1
4020,167.5,1
4026,167.75,1
4032,168.0,1
4038,168.25,1
4044,168.5,1
4050,168.75,1
4056,169.0,1
4062,169.25,1
4068,169.5,1
4074,169.75,1
4080,170.0,1
4086,170.25,1
4092,170.5,1
4098,170.75,1
4104,171.0,1
4110,171.25,1
4116,171.5,1
4122,171.75,1
4128,172.0,1
4134,172.25,1
4140,172.5,1
4146,172.75,1
4152,173.0,1
4158,173.25,1
4164,173.5,1
4170,173.75,1
4176,174.0,1
4182,174.25,1
4188,174.5,1
4194,174.75,1
4200,175.0,1
4206,175.25,1
4212,175.5,1
4218,175.75,1
4224,176.0,1
4230,176.25,1
4236,176.5,1
4242,176.75,1
4248,177.0,1
4254,177.25,1
4260,177.5,1
4266,177.75,1
4272,178.0,1
4278,178.25,1
4284,178.5,1
4290,178.75,1
4296,179.0,1
4302,179.25,1
4308,179.5,1
4314,179.75,1
4320,180.0,1
4326,180.25,1
4332,180.5,1
4338,180.75,1
4344,181.0,1
4350,181.25,1
4356,181.5,1
4362,181.75,1
4368,182.0,1
4374,182.25,1
4380,182.5,1
4386,182.75,1
4392,183.0,1
4398,183.25,1
4404,183.5,1
4410,183.75,1
4416,184.0,1
4422,184.25,1
4428,184.5,1
4434,184.75,1
4440,185.0,1
4446,185.25,1
4452,185.5,1
4458,185.75,1
4464,186.0,1
4470,186.25,1
4476,186.5,1
4482,186.75,1
4488,187.0,1
4494,187.25,1
4500,187.5,1
4506,187.75,1
4512,188.0,1
4518,188.25,1
4524,188.5,1
4530,188.75,1
4536,189.0,1
4542,189.25,1
4548,189.5,1
4554,189.75,1
4560,190.0,1
4566,190.25,1
4572,190.5,1
4578,190.75,1
4584,191.0,1
4590,191.25,1
4596,191.5,1
4602,191.75,1
4608,192.0,1
4614,192.25,1
4620,192.5,1
4626,192.75,1
4632,193.0,1
4638,193.25,1
4644,193.5,1
4650,193.75,1
4656,194.0,1
4662,194.25,1
4668,194.5,1
4674,194.75,1
4680,195.0,1
4686,195.25,1
4692,195.5,1
4698,195.75,1
4704,196.0,1
4710,196.25,1
4716,196.5,1
4722,196.75,1
4728,197.0,1
4734,197.25,1
4740,197.5,1
4746,197.75,1
4752,198.0,1
4758,198.25,1
4764,198.5,1
4770,198.75,1
4776,199.0,1
4782,199.25,1
4788,199.5,1
4794,199.75,1
4800,200.0,1
4806,200.25,1
4812,200.5,1
4818,200.75,1
4824,201.0,1
4830,201.25,1
4836,201.5,1
4842,201.75,1
4848,202.0,1
4854,202.25,1
4860,202.5,1
4866,202.75,0
4872,203.0,0
4878,203.25,0
4884,203.5,0
4890,203.75,0
4896,204.0,0
4902,204.25,0
4908,204.5,0
4914,204.75,0
4920,205.0,0
4926,205.25,0
4932,205.5,0
4938,205.75,0
4944,206.0,0
4950,206.25,0
4956,206.5,0
4962,206.75,0
4968,207.0,0
4974,207.25,1
4980,207.5,1
4986,207.75,1
4992,208.0,0
4998,208.25,0
5004,208.5,0
5010,208.75,0
