segment,frame,video_time,match_time,score,raw_ocr,ocr_confidence
11,146742,2448.146,,,"AN oy _— —_ = - ° : - . a ‘ ~ . Los a Ps ~— 3 a” 2 a - a t- -_F . = ""oe 4 - : a. = — + _ - x ~ a: ton _ Cn a, Rr . os 7",31.22
11,146784,2448.846,,,"_ - . { ad . » mm - . s NX oon ~ ‘ aa a! ~ ' ’ a , . a — , _=M - . : &, , ="" _ 2 et 2 - , e-- rh . . . * ~~ . — -. ~_ * . - ‘ ~ ; 3B = . i : _ ¢ | a S",27.48
12,147444,2459.857,,,"PANDAFC => 3 Vy, 0 & JOGA FC a W?liek. | |",46.33
12,147793,2465.68,,,PANDAFC >: 3 \ 7 Q =) JOGAFC ee | Iivit | ~—s _ 2,47.6
12,148142,2471.502,,,PANDAFC + 3 / 0 & JOGA FC ~~ Ul ji,34.73
12,148491,2477.325,,3-0,anon FCs 3 0 @ soca Fe,49.71
12,148840,2483.147,,,PANDA FC «= - 3% 0 & JOGAFC,66.88
12,149189,2488.97,,0-2,'  PANDAFC => s¥ y) 0 2? JOGA a,37.33
12,149538,2494.792,,7-0,ee ee PANDAFC =: 3 \ 7 0 @ Jocarc | rT MA PMRUND OTN PNON FINA D Ree wt (<&$loC fl,36.18
12,149887,2500.615,,,— PANDAFC-=° 3 v 0 @) soca 1 Where :,31.4
12,150236,2506.437,,,"PANDA FC «=: 3% 0 "" JOGA FC",41.38
12,150585,2512.26,,,PANDAFC = 3 N y 0 @9 soca Fc | . pa J ami i... ?—,43.38
12,150934,2518.082,,7-0,PANDA FC ©: s¥ 7 0 @ soca rc 1] _ oo i l1\/ Lue,41.93
12,151283,2523.905,,7-0,PANDAFC = 3\°7 0 9 JOGAFC,65.5
12,151632,2529.727,,,PANDA FC ~ = Vy 0 @) socarc,47.0
12,151981,2535.55,,,,0.0
12,152330,2541.372,,,PANDAFC > 3‘ 0 & JoGAFC,28.17
12,152679,2547.195,,,PANDAFC =. 3 y 0 @ soca Fc an on NO ae ————,44.77
12,153028,2553.017,,7-0,PANDA FC =. aN 7 0 @ soca Fc a LLL,56.91
12,153377,2558.84,,0-9,PANDAFC = 3 Vy 0 9 JOGA FC ‘ —-,37.3
12,153726,2564.662,,,PANDAFC =. y 0 @) JOGAFC,48.17
12,154075,2570.485,,,"PANDAFC =: 4 Wy 0 "" JOGA ro 7 £@ oom - Te 7.",36.86
12,154424,2576.307,,,PANDAFC <> 4 Vy 0 % JOGA FC en IN | T-wU  ° FRA,38.86
13,154524,2577.975,,,Ee — — = a ~ a ~- 2. . _ ie I ry —,36.4
13,154554,2578.476,,,"0 — =e . ~ = ~, a 7",43.0
13,154584,2578.976,,,,0.0
13,154614,2579.477,,,,0.0
13,154644,2579.977,,,—— rt,20.0
13,154674,2580.478,,,eS i: t :,39.0
13,154704,2580.978,,,,0.0
13,154734,2581.479,,,= Set pa - .{ 1,52.67
13,154764,2581.979,,,"[2 . - - EQ soe : ' eo =, aw w x, ~ vv & . Te _> . .- ? - - 7 2s : . ~ . e* -_ , on ar _.",32.33
14,155640,2596.594,,,PANDAFC => 4 y 0 @ soca rc a WN | | peéOUO#7S373]73S;§;§;7«7ttéi‘iaaaee ae,39.21
14,155823,2599.647,,0-9,ee. PANDAFC => 4 ) 0 9 JOGA FC en IW | Ty!  ° By RQ,35.0
14,156006,2602.7,,,PANDAFC = 4 y 0 @ soca Fc ee LW. LE TT  — Cy Re,47.13
14,156189,2605.753,,,PANDAFC = 4 N y 0 @) JOGAFC a’ a ae ree,37.58
14,156372,2608.806,,,PANDAFC = 4 y 0 @ socarc So Ae 7 [.,54.27
